"","sid","year","month","day","hour","time","lat","lon","x","y","p_cent","p_edge","depth","p_grad","DsqP","radius","area","Dp","DpDt","u","v","uv","Ege","Ely","Emg","Esp","Erg","id","pid","type","centers","strength"
"226327",429,1947,7,22,12,17368.5,41.7446483229915,-73.7343087668065,159,301,1008.88267691965,1010.88267691965,2,9.67627780469316,5.45217230886978,634.8699814767,1266250,1.04843909100644,10.9096852209722,8.34610511989839,35.1932462327753,36.1693523728743,0,0,0,0,2,3,3,1,1,1
"226328",429,1947,7,22,15,17368.625,42.7585501914636,-73.6894229284214,163,302,1009.28659653275,1013.28659653275,4,9.85973906423018,7.40221707486395,1698.20127453289,9060000,0.403919613097096,4.12195408589117,1.22151829850309,37.5802479631793,37.6000949989175,0,0,0,1,0,4,4,1,2,1
"231335",461,1947,9,25,18,17433.75,38.0025734482874,-72.4551682247235,146,292,1008.83682967511,1012.83682967511,4,11.8213313034955,8.95342119770634,387.55964385237,471875,-1.26615607171698,-14.2475738263913,73.7873008328666,89.2472589232722,115.79999563695,0,0,1,0,0,7,7,1,1,1
"231336",461,1947,9,25,21,17433.875,38.3232825984507,-70.9953675977465,149,287,1008.93702115001,1010.93702115001,2,11.3779281627549,11.3479665447708,184.443403476223,106875,0.100191474901512,1.11941504975584,42.4481954010772,11.887076808881,44.0811965339902,0,0,0,0,0,7,7,1,1,1
"231337",461,1947,9,26,0,17434,38.7527032375163,-69.1859357956662,153,281,1010.94386726047,1012.94386726047,2,9.89290644951099,8.01808792073076,259.695797299823,211875,2.00684611045508,22.2120131959983,52.3013258902041,15.9164654868533,54.6695762144497,0,0,0,0,0,5,5,1,1,1
"231338",461,1947,9,26,3,17434.125,38.1067079532281,-68.8888677115133,151,279,1010.34939937185,1014.34939937185,4,10.5853333948399,10.7730820981359,417.700378698045,548125,-0.594467888618528,-6.67380889018298,8.66400170488647,-23.9437994163834,25.4631195267642,0,0,2,0,0,3,3,1,2,1
"234415",9,1947,10,30,15,17468.625,39.9024760433776,-71.8163468442869,154,292,1008.75151722315,1012.75151722315,4,8.24807519672105,1.84793840054437,618.199649870019,1200625,NA,NA,NA,NA,NA,3,0,0,0,0,3,3,1,1,1
"234416",9,1947,10,30,18,17468.75,39.900178383774,-70.9787113295781,155,289,1006.8263962593,1010.8263962593,4,9.06018460297288,1.85335266339665,574.497661646084,1036875,-1.92512096384904,-20.7928712726723,23.817981060467,-0.0851626970273607,23.818133312284,0,0,0,0,0,4,4,1,1,1
"234417",9,1947,10,30,21,17468.875,39.3076052795813,-69.2446392521581,155,282,1006.2134331982,1010.2134331982,4,9.23125133299628,1.03209579378759,567.529572870193,1011875,-0.612963061099581,-6.70377696358096,49.7311284065316,-21.9637076174126,54.3653344042886,0,0,0,0,0,4,4,1,1,1
"234418",9,1947,10,31,0,17469,40.2041293527031,-70.3013786254197,157,287,1006.4540794427,1010.4540794427,4,10.1325205041651,2.87204454370891,509.725852392753,816250,0.24064624449893,2.5828244775422,-29.9143785873092,33.2296428486173,44.7110636208928,0,0,0,0,0,5,5,1,1,1
"234419",9,1947,10,31,3,17469.125,39.5403790355402,-69.1513962343885,156,282,1006.87252004501,1010.87252004501,4,9.85386801177224,1.09995261820775,537.64780794741,908125,0.418440602311894,4.55378883996529,32.870440583467,-24.6018892757421,41.0575062575299,0,0,0,0,0,5,5,1,1,1
"234420",9,1947,10,31,6,17469.25,38.8952754021261,-67.4501420788407,156,275,1006.33585315571,1010.23938462751,3.90353147179951,9.22734068662368,1.05799461449889,605.02592432999,1150000,-0.536666889296903,-5.92155422486631,49.0761885921339,-23.9107503985413,54.5911739327159,0,0,0,1,0,4,5,2,0,1
"234421",9,1947,10,31,9,17469.375,38.568679033538,-67.3105410454785,155,274,1005.33416075291,1009.33416075291,4,9.84239119151421,1.24383395258868,597.748146999474,1122500,-1.00169240279865,-11.1314510165833,4.04559201213454,-12.1052864158432,12.763415449567,0,0,0,0,0,4,4,1,2,1
"234422",9,1947,10,31,12,17469.5,37.0828389124456,-67.6609470008805,149,273,1007.65373848676,1008.14167474411,0.487936257354304,7.97532257852773,0.694886615708238,289.748567694432,263750,2.31957773384565,26.6522890450156,-10.3611913002123,-55.0726277568017,56.03881345281,0,0,0,0,0,7,8,2,0,1
"234423",9,1947,10,31,15,17469.625,38.2491494323659,-68.55653533318,152,278,1006.74738180591,1008.74738180591,2,9.60188344981822,2.5848941262607,445.584774770345,623750,-0.906356680851459,-10.1431156646468,-26.0687671864474,43.2292709024354,50.4811894211829,0,0,0,0,0,5,5,1,2,1
"235175",169,1947,11,8,15,17477.625,41.3608647621891,-75.2702968099723,156,306,997.989335863808,1001.98933586381,4,11.4731838887805,19.8216572519758,222.121661164524,155000,NA,NA,NA,NA,NA,3,0,0,0,0,6,6,1,1,2
"235176",169,1947,11,8,18,17477.75,41.7446483229915,-73.7343087668065,159,301,995.228726308217,999.228726308217,4,13.3316540795991,15.2520431752752,191.845199549013,115625,-2.76060955559064,-28.725923640057,42.4770372879411,14.2249282969367,44.7956167701052,0,0,0,0,0,6,6,1,1,2
"235177",169,1947,11,8,21,17477.875,42.0037389884519,-72.7857810647032,161,298,992.894359955986,996.894359955986,4,15.6402669709661,19.0623558922119,174.465993438048,95625,-2.33436635223174,-24.1683646160201,26.1251898021196,9.60318918005233,27.8342735602108,0,0,0,0,0,8,8,1,1,2
"235178",169,1947,11,9,0,17478,42.7921467674045,-71.9192709578924,165,296,992.752906709431,996.752906709431,4,17.0205908064905,10.8568628768893,187.120515925478,110000,-0.141453246554738,-1.44259985799141,23.568218249418,29.2223150488793,37.5420378811295,0,0,0,0,0,7,7,1,1,1
"235199",188,1947,11,4,0,17473,37.682123513155,-75.9946104760556,141,305,1006.60869988514,1010.60869988514,4,9.72796364352578,2.73781236664734,496.67913363905,775000,1.01524367310485,11.5066954865761,-0.0162729241653325,38.4331380527242,38.4331414977727,0,0,0,0,0,2,2,1,1,1
"235200",188,1947,11,4,3,17473.125,38.7741842526116,-76.246929413477,145,307,1005.91424804494,1011.91424804494,6,10.2876474948284,6.08133928594936,638.307648642292,1280000,-0.694451840202673,-7.68268821567295,-7.29115815353143,40.4772046050936,41.128640627456,0,0,0,1,0,4,4,1,2,1
"235201",188,1947,11,4,6,17473.25,38.7741842526116,-76.246929413477,145,307,1006.29836313818,1010.29836313818,4,9.27154567775876,3.25102717907292,459.866426947386,664375,0.38411509323967,4.24944730426992,0,0,0,0,0,0,0,0,3,3,1,1,1
"235202",188,1947,11,4,9,17473.375,39.2529457542373,-73.1378060557744,150,296,1005.5489457348,1009.5489457348,4,10.1107153731488,6.79347263519136,412.669103651252,535000,-0.749417403374682,-8.20569883991096,89.2325510084956,17.7452833511671,90.9799056973405,0,0,0,0,0,4,4,1,1,1
"235203",188,1947,11,4,12,17473.5,39.2939364629944,-74.2165069697621,149,300,1005.79057332223,1009.79057332223,4,9.60013239614711,6.07572674231174,384.467363239844,464375,0.241627587428666,2.64337240216336,-30.9421935962319,1.51931961778479,30.9794718587597,0,0,0,0,0,3,3,1,1,1
"235204",188,1947,11,4,15,17473.625,39.6009802393747,-74.3983384692516,150,301,1005.86138073612,1007.86138073612,2,9.3059372864781,5.90353160259823,200.961605311981,126875,0.0708074138872325,0.769594518865049,-5.19286132088811,11.3805700637588,12.5093238695822,0,0,0,0,0,4,4,1,1,1
"235205",188,1947,11,4,18,17473.75,39.7727768346226,-74.0727529041443,151,300,1003.92349021437,1007.92349021437,4,8.95352770178988,8.01539127904915,424.550318633223,566250,-1.93789052175256,-20.9866555941386,9.27517217362977,6.36763660212504,11.2505828625542,0,0,0,0,0,4,4,1,1,1
"235206",188,1947,11,4,21,17473.875,39.7452610753276,-71.3144881409437,154,290,1003.69562235413,1009.65975068948,5.96412833534312,8.70059849926855,5.36168511953161,590.549125010033,1095625,-0.227867860234546,-2.46915164879139,78.6048602578836,-1.01987094545693,78.6114762163057,0,0,0,0,0,6,4,2,0,1
"235207",188,1947,11,5,0,17474,40.3253919849485,-69.115839640888,159,283,1003.54680709849,1009.54680709849,6,8.92081338627678,4.60013291789735,532.442243236239,890625,-0.148815255640948,-1.59322853591439,62.1270562941022,21.502537979844,65.7429103656446,0,0,1,0,0,4,4,1,1,1
"235208",188,1947,11,5,3,17474.125,40.7881637877539,-68.9238148127074,161,283,1001.32173969276,1009.32173969276,8,10.5329461852665,7.34073636917972,580.526133776153,1058750,-2.22506740573619,-23.5979852675378,5.38879279359935,17.152625555373,17.9792005165743,0,0,0,1,0,5,5,1,2,1
"235209",188,1947,11,5,6,17474.25,41.0189909075502,-68.826533142767,162,283,1000.50531210438,1008.39879414759,7.89348204321286,10.1097406803927,8.87273605474285,622.528944249796,1217500,-0.816427588374936,-8.61846327102898,2.72050420193146,8.55560155110989,8.97772025706307,0,0,0,0,0,6,4,2,0,1
"235210",188,1947,11,5,9,17474.375,40.7881637877539,-68.9238148127074,161,283,998.923120499078,1006.4001910218,7.47707052272599,10.7656518970783,8.21312258260012,561.007040922147,988750,-1.5821916053028,-16.7799564615905,-2.73001592930482,-8.55560155110989,8.98060715517676,0,0,0,0,0,5,3,2,0,1
"235211",188,1947,11,5,12,17474.5,40.5592838508786,-67.5761054508108,162,278,998.338718728784,1007.23993913874,8.90122040995193,11.6735142373306,4.02507978320959,633.929200547692,1262500,-0.584401770294353,-6.22676017109804,37.9504604947938,-8.48342926375268,38.8870932809332,0,0,0,0,0,6,4,2,0,1
"235977",368,1947,11,12,3,17481.125,38.410990776525,-75.8074672865569,144,305,998.745778651295,1000.74577865129,2,14.2934794933869,5.78594298333934,151.912694493662,72500,-2.89171692311851,-32.246038567449,53.4929680479515,41.4733651898344,67.6870567446135,2,0,0,2,0,8,8,1,1,1
"235978",368,1947,11,12,6,17481.25,39.361166796743,-74.4688700421743,149,301,995.325722893447,999.325722893447,4,17.1531505552475,9.31338292196626,197.969454048798,123125,-3.42005575784788,-37.3613899337487,38.3602181929039,35.2182509558518,52.0752488251045,0,0,0,0,0,7,7,1,1,1
"235979",368,1947,11,12,9,17481.375,40.2768612477122,-73.083582167998,154,297,991.090896028224,999.090896028224,8,21.267084224258,19.2139430748689,238.949442004407,179375,-4.23482686522228,-45.3837131447896,39.1727193858677,33.9401924347852,51.8308653853492,0,0,0,0,0,6,6,1,1,2
"235980",368,1947,11,12,12,17481.5,40.9991412215348,-71.9926236839114,158,294,987.789419903293,997.789419903293,10,25.0553959644945,32.5631749173535,201.455976551785,127500,-3.30147612493121,-34.8652955611147,30.5178995809163,26.7712895686776,40.5961099121686,0,0,0,0,0,6,6,1,1,2
"235981",368,1947,11,12,15,17481.625,41.6255057179171,-71.4785017270277,161,293,984.796378229254,998.796378229254,14,28.659659397497,46.3523206798737,244.708085968416,188125,-2.99304167403869,-31.2173412466962,14.2443243909438,23.2161847426623,27.2376946777781,0,0,0,0,0,7,7,1,1,2
"235982",368,1947,11,12,18,17481.75,42.0832118132349,-70.4297651216794,164,290,982.51513006735,996.51513006735,14,29.3880166633797,40.7066606836446,219.418254220788,151250,-2.28124816190466,-23.58211622622,28.849091009579,16.9648652312079,33.4675470327901,0,0,0,0,0,7,7,1,1,2
"235983",368,1947,11,12,21,17481.875,41.9752948984751,-69.2988208336909,165,286,982.047019060259,998.047019060259,16,30.0327964703681,34.6044184898299,268.731381546606,226875,-0.468111007090629,-4.84916142585108,31.163323761787,-3.99993780680555,31.4189791422362,0,0,0,0,0,8,8,1,1,2
"235984",368,1947,11,13,0,17482,42.3043541680298,-67.9668335683455,168,282,979.5698282341,999.5698282341,20,32.7119603326043,35.3830914800842,286.988994649718,258750,-2.47719082615906,-25.4988547027483,36.51274529284,12.1965737799504,38.4959346008067,0,0,0,0,0,8,8,1,1,2
"237560",103,1947,12,6,6,17505.25,42.6578679576954,-74.3039648057645,162,304,1003.61529012734,1003.61529012734,0,7.78688063562011,4.87056831862232,14.1047395886939,625,0.297480510464957,3.04153988220519,12.0185179452715,-51.0338399837376,52.4299303555379,0,0,0,0,0,6,6,1,1,1
"237644",119,1947,12,6,3,17505.125,41.2201557330026,-70.1909032068548,161,288,999.776164901594,1005.77616490159,6,13.9103252222821,11.1913136437189,317.278271404809,316250,-2.04638174823645,-21.5155327085475,26.3900622159634,8.19189746334945,27.6322740253576,2,0,0,2,0,4,4,1,1,1
"239263",557,1947,12,23,18,17522.75,40.1303215480764,-72.5745639596944,154,295,1008.96136657391,1012.96136657391,4,11.1474335391439,2.4167492063294,425.720203239047,569375,-3.38224126747853,-36.3565932887838,30.1955731154019,27.2407337101331,40.6673113056907,0,0,0,0,2,7,7,1,1,1
"239264",557,1947,12,23,21,17522.875,40.3693303618308,-70.8045323999471,157,289,1006.96141410827,1012.96141410827,6,13.6852576000251,4.53774465142335,411.462113339738,531875,-1.99995246563209,-21.392337263598,49.9835362459604,8.85885583760665,50.7625178887211,0,0,0,0,0,7,7,1,1,1
"239265",557,1947,12,24,0,17523,41.3033724610484,-70.4468070973971,161,289,1007.17767600276,1013.17767600276,6,14.7490867785008,9.25662852521345,377.680576342114,448125,0.216261894490744,2.27000332299638,9.96054878578624,34.6202475684768,36.0246314875898,0,0,0,0,0,7,7,1,1,1
"239266",557,1947,12,24,3,17523.125,41.7682667425561,-70.2630985044991,163,289,1004.29428211249,1014.29428211249,10,18.5328028078164,14.9772460525741,465.456406426899,680625,-2.8833938902794,-29.9897229790833,5.07857317667561,17.2312951765756,17.9641153128432,0,0,0,0,0,9,9,1,1,1
"239267",557,1947,12,24,6,17523.25,42.0001827922881,-70.1699959160966,164,289,1001.92459142219,1013.92459142219,12,21.1818517566053,18.4800331245012,487.583527453009,746875,-2.3696906902967,-24.5357787673466,2.56447023310501,8.59596271254913,8.97034461612355,0,0,0,0,0,8,8,1,1,2
"239268",557,1947,12,24,9,17523.375,42.0227086764637,-67.19979344205,168,279,998.464714863098,1012.4647148631,14,23.9107829296705,14.1367761279584,473.927645784077,705625,-3.45987655909063,-35.8079316340176,81.779864863239,0.834921346166486,81.7841267649409,0,0,0,0,0,7,7,1,1,1
"239269",557,1947,12,24,12,17523.5,41.7092367301855,-68.5294820520224,165,283,999.170976548858,1011.17097654886,12,23.5240559901537,14.881716143287,381.350008850425,456875,0.706261685759964,7.35420343034265,-36.7923186466514,-11.6188300238412,38.5833114509324,0,0,0,0,0,8,8,1,1,1
"239500",633,1947,12,26,12,17525.5,38.3165401407958,-72.6229495996013,147,293,1002.81683912658,1002.81683912658,0,11.3614385496016,4.90345588012584,14.1047395886939,625,NA,NA,-62.1555973822286,115.206099767461,130.903642843016,3,0,0,3,0,9,9,1,1,1
"239501",633,1947,12,26,15,17525.625,39.7429685835842,-72.1496816977832,153,293,1000.22266125589,1002.22266125589,2,14.3158828916155,10.6202044829042,105.550206141119,35000,-2.5941778706928,-28.1115853189363,13.4881252472547,52.8705353531901,54.5639352614761,0,0,0,0,0,9,9,1,1,1
"239502",633,1947,12,26,18,17525.75,40.7637285111155,-72.0758469712405,157,294,993.03007830772,1009.03007830772,16,18.6675238252176,21.310687746497,830.504506083201,2166875,-7.19258294816755,-76.3187748546381,2.07278655460643,37.8344417545162,37.8911787488439,0,0,2,0,0,9,9,1,2,2
"239503",633,1947,12,26,21,17525.875,40.9991412215348,-71.9926236839114,158,294,990.489225220633,1010.48922522063,20,20.9684215493529,26.7599290799418,943.64819005769,2797500,-2.54085308708673,-26.8327228507506,2.32805957333244,8.72556635542394,9.03080116046694,0,0,0,1,0,9,9,1,3,2
"239504",633,1947,12,27,0,17526,41.2342132030272,-71.9086499336932,159,294,990.115101708728,1010.11510170873,20,21.539963695934,18.7330179744333,910.930340116833,2606875,-0.374123511905054,-3.93241055551873,2.34065538923357,8.71293724607878,9.02185918230023,0,0,0,0,0,10,10,1,3,2
"239505",633,1947,12,27,3,17526.125,41.3127555474179,-71.3069638257418,160,292,987.392280439721,999.392280439721,12,23.9273862683641,16.6285826814816,289.061144264055,262500,-2.72282126900653,-28.5748980792181,16.7509919076637,2.91117007433907,17.0020775522388,0,0,0,2,0,9,9,1,1,2
"239506",633,1947,12,27,6,17526.25,41.3855196348664,-70.7035254425107,161,290,985.822433127308,997.822433127308,12,24.5563102281951,16.0735753936954,283.852408727268,253125,-1.56984731241319,-16.4511494128772,16.7810096619005,2.69699912206454,16.996355183898,0,0,0,0,0,8,8,1,1,2
"239507",633,1947,12,27,9,17526.375,41.4524864758305,-70.0984615451406,162,288,984.925120993109,994.925120993109,10,24.0451294415836,15.6255113941535,249.936622293671,196250,-0.89731213419931,-9.390895314399,16.8088724185229,2.48212432287217,16.991148670304,0,0,0,0,0,7,7,1,1,2
"239508",633,1947,12,27,12,17526.5,41.5136384772892,-69.4919010282316,163,286,985.593819401744,997.593819401744,12,23.0898284670355,16.7832424960257,427.119835080373,573125,0.668698408635246,6.98987673634776,16.8345543344334,2.2665974387901,16.9864558866327,0,0,0,0,0,8,8,1,1,2
"239509",633,1947,12,27,15,17526.625,41.4795274666363,-68.6293777306568,164,283,986.818477519617,996.818477519617,10,21.9407369959013,14.6229005960625,416.985341862152,546250,1.2246581178729,12.8099187113212,23.9511371346942,-1.26432377577316,23.9844842482575,0,0,0,0,0,10,10,1,1,1
