"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"18175",18175,-72.3983306884766,40.526668548584,20190919,49,3.96912384033203,0,19,0,32.6279983520508,0,4,223,"MAB","NYB",1010,1023.22677748562,1024.92402162951,44.6481971740723
"18217",18217,-72.4883346557617,40.7683334350586,20190919,32,3.9690363407135,0,19.5300006866455,0,31.2590007781982,0,4,224,"MAB","NYB",3080,1022.0486982733,1022.59067068894,25.7973575592041
"18491",18491,-71.6933364868164,40.7333335876465,20190926,69,0.992269515991211,0,19.9500007629395,0,32.5169982910156,0,1,233,"MAB","NYB",1060,1022.88627279328,1025.50164462767,49.6075820922852
"18554",18554,-71.6883316040039,40.6416664123535,20190926,71,0.992277801036835,0,20.3799991607666,0,32.681999206543,0,1,234,"MAB","NYB",1060,1022.89954264339,1025.56433645727,49.6079978942871
"18622",18622,-71.8000030517578,41.0133323669434,20190926,29,1.98448359966278,0,19.0900001525879,0,31.8640003204346,0,2,235,"MAB","NYB",3020,1022.61229873851,1023.59200224118,23.8125324249268
"18645",18645,-71.9066696166992,41.0016670227051,20190926,20,2.97672128677368,0,19.2800006866455,0,31.507999420166,0,3,236,"Not in NES","NYB",3020,1022.2973595665,1023.21203369291,15.8753452301025
"18659",18659,-72.0066680908203,40.9566650390625,20190927,26,2.97673344612122,0,19.1900005340576,0,31.6949996948242,0,3,237,"Not in NES","NYB",3050,1022.46264096575,1024.25573386905,21.8283729553223
"18679",18679,-72.0766677856445,40.9249992370605,20190927,28,0.992252051830292,0,19,0,32.2849998474121,0,1,238,"Not in NES","NYB",3050,1022.9517644116,1024.38626759458,24.8048553466797
"18704",18704,-72.0133361816406,40.9533348083496,20190927,26,2.97673416137695,0,18.8099994659424,0,32.117000579834,0,3,239,"Not in NES","NYB",3050,1022.87979888352,1024.07606977368,19.8440761566162
"18722",18722,-72.1483306884766,40.9033317565918,20190927,27,3.96898746490479,0,18.5900001525879,0,32.390998840332,0,4,240,"Not in NES","NYB",3050,1023.1480797607,1024.37725553649,21.8284778594971
"18741",18741,-72.1166687011719,40.781665802002,20190927,44,0.992265045642853,0,19.6299991607666,0,32.0169982910156,0,1,241,"MAB","NYB",1050,1022.5877085532,1025.15564119103,39.6868476867676
"18781",18781,-72.4166641235352,39.9133338928223,20190927,74,0.992343544960022,0,20.8099994659424,0,33.4980010986328,0,1,242,"MAB","NYB",1020,1023.40635177221,1025.32790016862,49.6112861633301
"18852",18852,-72.4333343505859,39.7633323669434,20190927,84,0.992357075214386,0,20.9599990844727,0,33.9650001525879,0,1,243,"MAB","NYB",1020,1023.72134569284,1025.69960164669,49.6119613647461
"18933",18933,-72.6666641235352,39.9300003051758,20190927,58,0.992341995239258,0,21.3400001525879,0,32.7159996032715,0,1,244,"MAB","NYB",1020,1022.66870234985,1025.70888487152,49.6112060546875
