,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1952,"FLOUNDER, WITCH","13,100",6,"1,241","11,385",Public,Commercial
1952,"FLOUNDER, YELLOWTAIL","234,800",107,"24,711","226,706",Public,Commercial
1952,GOOSEFISH,"33,100",15,"1,718","15,761",Public,Commercial
1952,HADDOCK,"156,000",71,"14,179","130,083",Public,Commercial
1952,"HAKE, RED","181,900",83,"8,440","77,431",Public,Commercial
1952,"HAKE, SILVER","822,500",373,"43,892","402,679",Public,Commercial
1952,"HAKE, WHITE","54,000",24,"3,252","29,835",Public,Commercial
1952,HARVESTFISHES **,"4,371,100","1,983","270,012","2,477,174",Public,Commercial
1952,"HERRING, ATLANTIC","54,600",25,625,"5,734",Public,Commercial
1952,"HERRING, LAKE OR CISCO","19,900",9,"4,839","44,394",Public,Commercial
1952,KINGFISHES **,"14,300",6,"1,552","14,239",Public,Commercial
1952,"LOBSTER, AMERICAN","340,100",154,"145,757","1,337,220",Public,Commercial
1952,"MACKEREL, ATLANTIC","233,000",106,"30,587","280,615",Public,Commercial
1952,MENHADENS **,"93,189,300","42,270","876,976","8,045,651",Public,Commercial
1952,"MUSSEL, SEA","14,000",6,"2,780","25,505",Public,Commercial
1952,"OYSTER, EASTERN","6,520,900","2,958","4,567,110","41,900,092",Public,Commercial
1952,"PERCH, WHITE","231,100",105,"33,355","306,009",Public,Commercial
1952,"PERCH, YELLOW","49,400",22,"6,637","60,890",Public,Commercial
1952,PIKES **,100,0,18,165,Public,Commercial
1952,POLLOCK,"2,000",1,140,"1,284",Public,Commercial
1952,PORGIES **,"9,212,400","4,179","727,921","6,678,174",Public,Commercial
1952,"PUFFER, NORTHERN","531,800",241,"27,071","248,358",Public,Commercial
1952,SAUGER,,,12,110,Public,Commercial
1952,"SCALLOP, BAY","182,300",83,"255,100","2,340,367",Public,Commercial
1952,"SCALLOP, SEA","2,292,200","1,040","1,360,313","12,479,936",Public,Commercial
1952,SEAROBINS **,"3,000",1,97,890,Public,Commercial
1952,"SHAD, AMERICAN","773,300",351,"109,876","1,008,037",Public,Commercial
1952,"SHARKS, CHONDRICHTHYES (CLASS) **","7,100",3,287,"2,633",Public,Commercial
1952,"SHARKS, DOGFISH **","37,600",17,"1,755","16,101",Public,Commercial
1952,"SILVERSIDES, ATHERINIDAE (FAMILY) **","210,500",95,"24,890","228,349",Public,Commercial
1952,"SKATES, RAJIDAE (FAMILY) **","17,600",8,875,"8,028",Public,Commercial
1952,"SMELT, RAINBOW","3,000",1,522,"4,789",Public,Commercial
1952,"SQUIDS, LOLIGINIDAE **","816,000",370,"63,003","578,009",Public,Commercial
1952,STURGEONS **,"13,500",6,"5,638","51,725",Public,Commercial
1952,SUCKERS **,"23,500",11,"1,814","16,642",Public,Commercial
