"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","profile_num","EPU","NYB","STRATA","seafloor_depth","surf_temp","surf_temp_1m","bot_T","bot_T_10m"
"497",69282,-70.9633331298828,40.2066650390625,20220321,129,1.98462951183319,0,8.02999973297119,0,864,"MAB","NYB",1070,-130,8.02999973297119,NA,13.6700000762939,13.6700000762939
"498",69648,-70.7300033569336,40.0016670227051,20220321,274,0.992335617542267,0,8.51000022888184,0,867,"MAB","NYB",1080,-272,8.51000022888184,8.51000022888184,9.81999969482422,9.81999969482422
"499",69919,-70.7949981689453,40.0099983215332,20220321,267,0.99233478307724,0,8.52000045776367,0,868,"MAB","NYB",1080,-250,8.52000045776367,8.52000045776367,11.1099996566772,11.1099996566772
"500",70183,-70.8133316040039,40.064998626709,20220322,157,0.992329835891724,0,8.28999996185303,0,869,"MAB","NYB",1070,-157,8.28999996185303,8.28999996185303,13.6300001144409,13.6300001144409
"501",70337,-71.5316696166992,40.8316650390625,20220330,63,0.99226051568985,0,6.32000017166138,0,870,"MAB","NYB",1060,-62,6.32000017166138,6.32000017166138,7.32000017166138,7.32000017166138
"502",71426,-71.7516632080078,40.3300018310547,20220603,73,0.992305994033813,0,15.8599996566772,0,899,"MAB","NYB",1060,-73,15.8599996566772,15.8599996566772,9.38000011444092,9.38000011444092
"503",71496,-72.1600036621094,40.2466659545898,20220604,64,0.99231344461441,0,15.9399995803833,0,900,"MAB","NYB",1020,-63,15.9399995803833,15.9399995803833,8.26000022888184,8.26000022888184
"504",71556,-72.4933319091797,39.9216651916504,20220604,65,0.99234277009964,0,16.5599994659424,0,901,"MAB","NYB",1020,-65,16.5599994659424,16.5599994659424,10.2399997711182,10.2399997711182
"505",71616,-72.821662902832,39.9150009155273,20220604,55,0.992343366146088,0,16.5400009155273,0,902,"MAB","NYB",1010,-54,16.5400009155273,16.5400009155273,8.65999984741211,8.65999984741211
"506",71667,-73.0766677856445,39.8300018310547,20220604,65,0.992351055145264,0,17.4300003051758,0,903,"MAB","NYB",1020,-63,17.4300003051758,17.4300003051758,8.85000038146973,8.85000038146973
"507",71726,-72.5950012207031,39.6683349609375,20220604,75,0.992365539073944,0,15.9700002670288,0,904,"MAB","NYB",1020,-74,15.9700002670288,15.9700002670288,10.4399995803833,10.4399995803833
"508",71796,-72.4300003051758,39.5050010681152,20220604,119,0.992380321025848,0,17.1800003051758,0,905,"MAB","NYB",1030,-119,17.1800003051758,17.1800003051758,13.2299995422363,13.2299995422363
"509",71908,-72.5899963378906,39.0183334350586,20220604,1013,0.992423892021179,0,21.5200004577637,0,906,"Not in NES","NYB",NA,-978,21.5200004577637,21.5200004577637,13.0600004196167,NA
"510",72110,-72.6033325195312,39.0166664123535,20220604,1003,0.992424190044403,0,21.4899997711182,0,907,"Not in NES","NYB",NA,-1166,21.4899997711182,21.4899997711182,6.19999980926514,NA
"511",72618,-72.7516632080078,39.060001373291,20220604,131,0.992420196533203,0,19.5200004577637,0,908,"MAB","NYB",NA,-136,19.5200004577637,19.5200004577637,13.5299997329712,13.5299997329712
"512",72745,-72.7633361816406,39.0683326721191,20220604,127,2.97724437713623,0,19.1700000762939,0,909,"MAB","NYB",1760,-126,19.1700000762939,NA,13.5900001525879,13.5900001525879
"513",72869,-72.9066696166992,39.0849990844727,20220604,85,0.992417991161346,0,18.0599994659424,0,910,"MAB","NYB",1740,-84,18.0599994659424,18.0599994659424,11.8599996566772,11.8599996566772
"514",72951,-73.0783309936523,39.0050010681152,20220604,78,0.992425262928009,0,16.4599990844727,0,911,"MAB","NYB",1740,-79,16.4599990844727,16.4599990844727,10.5900001525879,10.5900001525879
